id,category,transcript_type,audio,transcript,text
02_2026-07-01_0m20s,01_duzeltilecek,human_corrected,data\01_duzeltilecek\02_2026-07-01_0m20s\audio.wav,data\01_duzeltilecek\02_2026-07-01_0m20s\transcript.txt,"Alo.
Merhaba, merhaba. Veribase İlaç şirketinden arıyorum. İsmim Elif. Demomix 30 miligram tablet ve Demomix 10 miligram tablet için kampanyalarımız hakkında bilgi vermek üzere aramıştım. Müsait miydiniz?"
03_2026-06-26_0m25s,01_duzeltilecek,human_corrected,data\01_duzeltilecek\03_2026-06-26_0m25s\audio.wav,data\01_duzeltilecek\03_2026-06-26_0m25s\transcript.txt,"Merhaba. Veribase İlaç Şirketinden arıyorum. İsmim Elif.
Demomix 30 mg tablet ve Demomix 10 mg tablet için kampanyalarımız hakkında bilgi vermek üzere aramıştım. Müsait miydiniz?"
04_2026-07-03_0m27s,01_duzeltilecek,human_corrected,data\01_duzeltilecek\04_2026-07-03_0m27s\audio.wav,data\01_duzeltilecek\04_2026-07-03_0m27s\transcript.txt,"Здравствуйте. Я слушаю вашу заметку о визите.
Merhabalar, nasılsın?
Очень приятно. В каком учреждении проходил визит?
Doktor Ahmet Bey'i ziyaret ettim.
Понятно. А какой продукт представляли?"
05_2026-07-06_0m27s,01_duzeltilecek,human_corrected,data\01_duzeltilecek\05_2026-07-06_0m27s\audio.wav,data\01_duzeltilecek\05_2026-07-06_0m27s\transcript.txt,"Merhaba Veribase İlaç şirketinden arıyorum. İsmim Elif. Demomix 30 miligram tablet ve Demomix
10 miligram tablet için kampanyalarımız hakkında
Merhabalar Elif hanım.
Evet. Demomix 10 miligram tablette 4 alana 3 bedava ve Demomix 30 miligram tablette de 10 alana 6 bedava kampanyamız var.
Ben size kampanyalar sormadım ama
Değerlendirmek ister misiniz?
Bilmiyorum
Başka bir konuda yardımcı olabilir miyim?
Yardımcı olabilirsin
Teşekkür ederim.
Hangi konu"
07_2026-06-26_0m40s,01_duzeltilecek,human_corrected,data\01_duzeltilecek\07_2026-06-26_0m40s\audio.wav,data\01_duzeltilecek\07_2026-06-26_0m40s\transcript.txt,"Merhaba Veribase İlaç şirketinden arıyorum. İsmim İliz.
Demomix 30 mg tablet ve Demomix 10 mg tablet için kampanyalarımız hakkında bilgi vermek üzere aramıştım. Müsait miydiniz?
Şu an çok müsait değilim. Beni 6.442.318 dakika sonra arar mısınız?
Anladım efendim.
Sizin için not alıyorum. Belirttiğiniz zamanda tekrar arayacağız. Başka bir konuda yardımcı olabilir miyim?
Kaç dakika sonra arayacaktınız.
Rical ederim. İyi günler dilerim.
Dur kaç dakika"
09_2026-06-08_0m44s,01_duzeltilecek,human_corrected,data\01_duzeltilecek\09_2026-06-08_0m44s\audio.wav,data\01_duzeltilecek\09_2026-06-08_0m44s\transcript.txt,"Alo.
Merhaba. Veribase İlaç şirketinden arıyorum.
ses ses iki üç dört beş altı yedi
Ben Elif. Size isminizle hitap edebilmem için isminizi öğrenebilir miyim?
Osman.
Hasan.
Memnun oldum Abdullah Bey. Şu an Demo Algira 30 miligram kapsül, Demoderniksa krem ve Demobioteksa 5000 UG kapsül için harika bir kampanyamız var. Değerlendirmek ister misiniz?
Memnun oldum Yaşar Bey. Şu an Demo Algira 30 miligram kapsül, Demoderniksa krem ve Demobioteksa 5000 UG kapsül için harika bir kampanyamız var. İster misiniz?
Çünkü şey oluyor
Anlıyorum. Peki başka bir konuda yardımcı olabilir miyim?
Emin mısın Mahmut
Rica ederim. Başka"
12_2026-06-01_0m51s,01_duzeltilecek,human_corrected,data\01_duzeltilecek\12_2026-06-01_0m51s\audio.wav,data\01_duzeltilecek\12_2026-06-01_0m51s\transcript.txt,"[konuşmacı 1]: Merhaba, Veribase ilaç şirketinden arıyorum, ben Elif. Size isminiz ile hitap edebilmem için isminizi öğrenebilir miyim?
[konuşmacı 2]: İsmim Abdülrezzak.
[konuşmacı 1]: Memnun olduk Rıza Bey. Şu an Demo R 30 miligram kapsül, Demonex ora damla ve Demo Tervix 250 miligram saşe için harika bir kampanyamız var. Değerlendirmek ister misiniz?
[konuşmacı 2]:  seslerimiz"
13_2026-07-03_0m54s,01_duzeltilecek,human_corrected,data\01_duzeltilecek\13_2026-07-03_0m54s\audio.wav,data\01_duzeltilecek\13_2026-07-03_0m54s\transcript.txt,"Здравствуйте. Я слушу вашу заметку о визите.
merhaba?
Какая была обратная связь от врача?
doktor Ahmet bilgi aldık
Понятно. А какой продукт вы представляли?
ee Bağcılar devlet hastanesinde çalışıyor
Хорошо. Что именно обсуждали с доктором?
Ясно. А какая была обратная связь от врача?
Teşekkür ederim
Хорошо. Всё информацию записала. Спасибо за звонок."
16_2026-05-20_1m20s,01_duzeltilecek,human_corrected,data\01_duzeltilecek\16_2026-05-20_1m20s\audio.wav,data\01_duzeltilecek\16_2026-05-20_1m20s\transcript.txt,"Merhaba.
Merhaba, Hoş geldiniz.
Alo.
Efendim?
Alo?
Alo?
Merhaba. Hoş geldiniz.
Merhaba.
Merhaba. Hoş geldiniz.
Merhaba. Hoş geldiniz.
Merhaba. Hoş geldiniz.
Hoş geldiniz.
Merhaba. Hoş geldiniz.
Merhaba. Hoş geldiniz.
Merhaba. Hoş geldiniz.
Merhaba. Hoş geldiniz.
Merhaba. Hoş geldiniz."
18_2026-06-11_1m30s,01_duzeltilecek,human_corrected,data\01_duzeltilecek\18_2026-06-11_1m30s\audio.wav,data\01_duzeltilecek\18_2026-06-11_1m30s\transcript.txt,"Alo?
Merhaba, Veribase ilaç şirketinden arıyorum, ben Elif. Size isminiz ile hitap edebilme
için isminizi öğrenebilir miyim?
Maalesef İstanbul diye bir depomuz yok. Hangi depodan sipariş vermek istersiniz?"
