id,original_id,split,audio,text,start,end,duration
02_2026-07-01_0m20s_part_001,02_2026-07-01_0m20s,train,training/segments/audio/train/02_2026-07-01_0m20s_part_001.wav,"Alo. Merhaba, merhaba. Veribase İlaç şirketinden arıyorum. İsmim Elif. Demomix 30 miligram tablet ve Demomix 10 miligram tablet için kampanyalarımız hakkında bilgi vermek üzere aramıştım. Müsait miydiniz?",3,20.232,17.232
03_2026-06-26_0m25s_part_001,03_2026-06-26_0m25s,train,training/segments/audio/train/03_2026-06-26_0m25s_part_001.wav,Merhaba. Veribase İlaç Şirketinden arıyorum. İsmim Elif. Demomix 30 mg tablet ve Demomix 10 mg tablet için kampanyalarımız hakkında bilgi vermek üzere aramıştım. Müsait miydiniz?,8,25.632,17.632
04_2026-07-03_0m27s_part_001,04_2026-07-03_0m27s,train,training/segments/audio/train/04_2026-07-03_0m27s_part_001.wav,"Здравствуйте. Я слушаю вашу заметку о визите. Merhabalar, nasılsın? Очень приятно. В каком учреждении проходил визит? Doktor Ahmet Bey'i ziyaret ettim. Понятно. А какой продукт представляли?",7,27.792,20.792
05_2026-07-06_0m27s_part_001,05_2026-07-06_0m27s,train,training/segments/audio/train/05_2026-07-06_0m27s_part_001.wav,Merhaba Veribase İlaç şirketinden arıyorum. İsmim Elif. Demomix 30 miligram tablet ve Demomix Merhabalar Elif hanım. Evet. Demomix 10 miligram tablette 4 alana 3 bedava ve Demomix 30 miligram tablette de 10 alana 6 bedava kampanyamız var. Ben size kampanyalar sormadım ama Değerlendirmek ister misiniz? Bilmiyorum Başka bir konuda yardımcı olabilir miyim? Teşekkür ederim. Hangi konu,3,27.864,24.864
07_2026-06-26_0m40s_part_001,07_2026-06-26_0m40s,train,training/segments/audio/train/07_2026-06-26_0m40s_part_001.wav,Merhaba Veribase İlaç şirketinden arıyorum. İsmim İliz. Demomix 30 mg tablet ve Demomix 10 mg tablet için kampanyalarımız hakkında bilgi vermek üzere aramıştım. Müsait miydiniz? Şu an çok müsait değilim. Beni 6.442.318 dakika sonra arar mısınız? Anladım efendim. Sizin için not alıyorum. Belirttiğiniz zamanda tekrar arayacağız. Başka bir konuda yardımcı olabilir miyim? Kaç dakika sonra arayacaktınız.,7,37,30
07_2026-06-26_0m40s_part_002,07_2026-06-26_0m40s,train,training/segments/audio/train/07_2026-06-26_0m40s_part_002.wav,Rical ederim. İyi günler dilerim. Dur kaç dakika,37,40.248,3.248
09_2026-06-08_0m44s_part_001,09_2026-06-08_0m44s,train,training/segments/audio/train/09_2026-06-08_0m44s_part_001.wav,"Alo. Merhaba. Veribase İlaç şirketinden arıyorum. Ben Elif. Size isminizle hitap edebilmem için isminizi öğrenebilir miyim? Osman. Hasan. Memnun oldum Abdullah Bey. Şu an Demo Algira 30 miligram kapsül, Demoderniksa krem ve Demobioteksa 5000 UG kapsül için harika bir kampanyamız var. Değerlendirmek ister misiniz?",1,29,28
09_2026-06-08_0m44s_part_002,09_2026-06-08_0m44s,train,training/segments/audio/train/09_2026-06-08_0m44s_part_002.wav,"Memnun oldum Yaşar Bey. Şu an Demo Algira 30 miligram kapsül, Demoderniksa krem ve Demobioteksa 5000 UG kapsül için harika bir kampanyamız var. İster misiniz? Çünkü şey oluyor Anlıyorum. Peki başka bir konuda yardımcı olabilir miyim? Rica ederim. Başka",29,44.352,15.352
12_2026-06-01_0m51s_part_001,12_2026-06-01_0m51s,train,training/segments/audio/train/12_2026-06-01_0m51s_part_001.wav,"[konuşmacı 1]: Merhaba, Veribase ilaç şirketinden arıyorum, ben Elif. Size isminiz ile hitap edebilmem için isminizi öğrenebilir miyim? [konuşmacı 2]: İsmim Abdülrezzak. [konuşmacı 1]: Memnun olduk Rıza Bey. Şu an Demo R 30 miligram kapsül, Demonex ora damla ve Demo Tervix 250 miligram saşe için harika bir kampanyamız var. Değerlendirmek ister misiniz?",17,44,27
12_2026-06-01_0m51s_part_002,12_2026-06-01_0m51s,train,training/segments/audio/train/12_2026-06-01_0m51s_part_002.wav,[konuşmacı 2]:  seslerimiz,44,51.192,7.192
13_2026-07-03_0m54s_part_001,13_2026-07-03_0m54s,train,training/segments/audio/train/13_2026-07-03_0m54s_part_001.wav,Здравствуйте. Я слушу вашу заметку о визите. merhaba? Какая была обратная связь от врача? doktor Ahmet bilgi aldık Понятно. А какой продукт вы представляли? ee Bağcılar devlet hastanesinde çalışıyor Хорошо. Что именно обсуждали с доктором?,8,38,30
13_2026-07-03_0m54s_part_002,13_2026-07-03_0m54s,train,training/segments/audio/train/13_2026-07-03_0m54s_part_002.wav,Ясно. А какая была обратная связь от врача? Teşekkür ederim Хорошо. Всё информацию записала. Спасибо за звонок.,43,54.864,11.864
16_2026-05-20_1m20s_part_001,16_2026-05-20_1m20s,train,training/segments/audio/train/16_2026-05-20_1m20s_part_001.wav,"Merhaba. Merhaba, Hoş geldiniz. Alo. Efendim? Alo? Alo? Merhaba. Hoş geldiniz.",1,31,30
16_2026-05-20_1m20s_part_002,16_2026-05-20_1m20s,train,training/segments/audio/train/16_2026-05-20_1m20s_part_002.wav,Merhaba. Merhaba. Hoş geldiniz. Merhaba. Hoş geldiniz. Merhaba. Hoş geldiniz. Hoş geldiniz. Merhaba. Hoş geldiniz. Merhaba. Hoş geldiniz. Merhaba. Hoş geldiniz.,31,60,29
16_2026-05-20_1m20s_part_003,16_2026-05-20_1m20s,train,training/segments/audio/train/16_2026-05-20_1m20s_part_003.wav,Merhaba. Hoş geldiniz. Merhaba. Hoş geldiniz.,60,80.856,20.856
18_2026-06-11_1m30s_part_001,18_2026-06-11_1m30s,train,training/segments/audio/train/18_2026-06-11_1m30s_part_001.wav,"Alo? Merhaba, Veribase ilaç şirketinden arıyorum, ben Elif. Size isminiz ile hitap edebilme",15,34,19
18_2026-06-11_1m30s_part_002,18_2026-06-11_1m30s,train,training/segments/audio/train/18_2026-06-11_1m30s_part_002.wav,için isminizi öğrenebilir miyim? Maalesef İstanbul diye bir depomuz yok. Hangi depodan sipariş vermek istersiniz?,48,70,22
20_2026-06-26_1m36s_part_001,20_2026-06-26_1m36s,train,training/segments/audio/train/20_2026-06-26_1m36s_part_001.wav,Alo. Merhaba Veribase ilaç şirketinden arıyorum. İsmim Elif. Demomix 10 mg tablet ve Demomix 30 mg tablet için kampanyalarımız hakkında bilgi vermek üzere aramıştım müsait miydiniz? Buyurun müsaitim. Höparlor al sana Höparloru değiştirmem mı lazım mikrafonlar,3,30,27
20_2026-06-26_1m36s_part_002,20_2026-06-26_1m36s,train,training/segments/audio/train/20_2026-06-26_1m36s_part_002.wav,Elbette yardımcı olabilirim. Hangi ilaçla aramıştınız? Anlayamadım tekrar eder misiniz? ah ilaç ilaç sipariş ettik Maalesef Opal isimli ilacı arayamadım. Acaba tam ismini tekrar söyleyebilir misiniz? İlaç sipariş edecektim. Elbette siparişinizi oluşturabiliriz. Hangi ilaçları istersiniz? Parol var mı elinizde?,30,57,27
20_2026-06-26_1m36s_part_003,20_2026-06-26_1m36s,train,training/segments/audio/train/20_2026-06-26_1m36s_part_003.wav,"Parol olarak bir eşleşme bulamadım. Reçetenizdeki ismi tekrar kontrol edebilir misiniz? Demomix var. Demomix 10 mg tablet de. Demomix 10 mg tablet var mı? Evet, Demomix 10 mg tablet mevcut. Sepete ekleyelim mi? Ekle Üç kutu ekle.",57,83,26
20_2026-06-26_1m36s_part_004,20_2026-06-26_1m36s,train,training/segments/audio/train/20_2026-06-26_1m36s_part_004.wav,"Üç kutu Demomix 10 mg tablet sepete eklendi. Başka bir isteğiniz var mı? Başka yok, sağ ol.",83,96.624,13.624
23_2026-06-08_2m25s_part_001,23_2026-06-08_2m25s,train,training/segments/audio/train/23_2026-06-08_2m25s_part_001.wav,"Şey, gemini arıyor. [sessizlik] Merhaba. Merhaba Veribase İlaç şirketinden arıyorum, ben Elif. Size isminizle hitap edebilmem için isminizi öğrenebilir miyim? Memnun oldum Mahmut Bey. Şu an Demonexora Damla, Demo Tervix 250 miligram saşe ve Demo Probecsa kapsül için harika bir kampanyamız var, değerlendirmek ister misiniz? dur dur bekle",0,30,30
23_2026-06-08_2m25s_part_002,23_2026-06-08_2m25s,train,training/segments/audio/train/23_2026-06-08_2m25s_part_002.wav,Anlıyorum Mahmut Bey. Başka bir konuda yardımcı olabilir miyim? Başka bir konuda parol satıyor musunuz? Parol ile tam eşleşme bulamadım Mahmut Bey ama Demo Ralivion Pro 30 kapsül önerebilirim. İsterseniz bunu kontrol edebilirim. Ne kadar fiyatı? Demo Ralivion Pro 30 kapsülün fiyatı 511 TL'dir. Sepete eklememi ister misiniz?,30,60,30
23_2026-06-08_2m25s_part_003,23_2026-06-08_2m25s,train,training/segments/audio/train/23_2026-06-08_2m25s_part_003.wav,"Kampanya nedir? Demo Ralivion Pro 30 kapsül için 5 alana 2 bedava kampanyamız mevcut. Bunu sepete ekleyelim mi? 100 100 alırsam Üzgünüm Mahmut Bey, 100 adetlik bir işlemle ilgili bir sorun oluştu. Tekrar denememizi ister misiniz yoksa başka bir ürünle devam edelim mi? Yok başka ürüne gerek yok.",60,90,30
23_2026-06-08_2m25s_part_004,23_2026-06-08_2m25s,train,training/segments/audio/train/23_2026-06-08_2m25s_part_004.wav,"Anladım Mahmut Bey. Peki hangi depodan sipariş vermek istersiniz? Sancak Bağcılar. Sancak Eczane Deposu Bağcılar olarak teyit ediyorum, doğru mu? Evet, doğru. Mahmut Bey, sepetinizde şu an herhangi bir ilaç görünmüyor. Siparişi tamamlamamız için bir ilaç eklememiz gerekiyor. Ne ekleyelim?",90,116,26
23_2026-06-08_2m25s_part_005,23_2026-06-08_2m25s,train,training/segments/audio/train/23_2026-06-08_2m25s_part_005.wav,"Eee gerek yok ya, sepeti bir şey eklemeye. Anladım Mahmut Bey. Başka bir konuda yardımcı olabilir miyim? Bugün İstanbul'da hava kaç derece? Üzgünüm, hava durumu hakkında bilgi veremiyorum. Eczacılık konularında yardımcı olabilirim. Başka bir isteğiniz var mı? Yok, sağ ol. Rica ederim. Tekrar görüşmek üzere, iyi günler dilerim. Öyle",116,145.44,29.44
24_2026-06-23_2m25s_part_001,24_2026-06-23_2m25s,train,training/segments/audio/train/24_2026-06-23_2m25s_part_001.wav,"Merhaba, Veribase İlaç şirketinden arıyorum. Ben Elif. Size isminiz ile hitap edebilmem için isminizi öğrenebilir miyim? Merhaba, ismim Abdulrezzak. Memnun oldum Abdulrezzak Bey. Şu an Demo Algira, Demo Nexora ve Demo Tervis için harika bir kampanyamız var. Değerlendirmek ister misiniz? eee Evet Demo Algira'dan alabiliriz, olabilir. Kaç kutu istersiniz?",16,44,28
24_2026-06-23_2m25s_part_002,24_2026-06-23_2m25s,train,training/segments/audio/train/24_2026-06-23_2m25s_part_002.wav,Hangisinden? Demo Algira 30 miligram kapsül için sormuştum. Kaç kutu istersiniz? 1 milyon kutu. Demo Algira 30 miligram kapsülden 1000 kutu ekliyorum. Başka bir isteğiniz var mı? 1 milyon kutu istiyorum. Maalesef 1 milyon kutu sepete ekleyemiyorum. Ne kadar istersiniz?,44,70,26
24_2026-06-23_2m25s_part_003,24_2026-06-23_2m25s,train,training/segments/audio/train/24_2026-06-23_2m25s_part_003.wav,"Evet buradayım ve size yardımcı olmaya çalışıyorum. Demo Algira'dan kaç kutu eklemek istersiniz? Arkadan bir müzik çalıyor, bu müziği biliyor musun? Üzgünüm. Arkadan gelen müziği tanıyamıyorum. Siparişinize devam edebilir miyiz? Demo Algira'dan kaç kutu ekleyelim? Tekrar dinlyebilirim ancak müziğin net olması gerekiyor. Siparişle ilgili yardımcı olabileceğin başka bir şey var mı?",72,102,30
24_2026-06-23_2m25s_part_004,24_2026-06-23_2m25s,train,training/segments/audio/train/24_2026-06-23_2m25s_part_004.wav,"Bak, müziği çalıyorum şimdi dinle. Maalesef hala müziği tanıyamıyorum. Başka bir ilaç eklemek ister misin yoksa siparişi tamamlayalım mı? Bak, davul çalıyor şimdi dinle. Hala algılayamıyorum, teknik bir sorun olabilir. İlaç siparişinizle ilgili ne yapalım? çalıyor. Başka bir isteğiniz yoksa siparişi tamamlıyorum. Hangi depodan gönderelim?",102,132,30
24_2026-06-23_2m25s_part_005,24_2026-06-23_2m25s,train,training/segments/audio/train/24_2026-06-23_2m25s_part_005.wav,"Yok. Depoya gerek yok. Anladım. Peki ilaç siparişiniz bu kadardı. Yok, ilaç siparişi istemiyorum ben.",132,145.368,13.368
25_2026-06-10_2m50s_part_001,25_2026-06-10_2m50s,train,training/segments/audio/train/25_2026-06-10_2m50s_part_001.wav,"Merhaba, Veribase İlaç Şirketinden arıyorum ben Elif. Size isminizle hitap edebilmem için isminizi öğrenebilir miyim? Memnun oldum Mustafa Bey. Şu an Demo Algira, Demo Nexora ve Demo Tervix için harika bir kampanyamız var. Değerlendirmek ister misiniz? Şey, pardon benim ismim Mahmut. Rica ederim Onur Bey. Demo Alvira, Demo Nexora ve Demo Tervix için kampanyamız vardır. Değerlendirmek ister misiniz?",15,44,29
25_2026-06-10_2m50s_part_002,25_2026-06-10_2m50s,train,training/segments/audio/train/25_2026-06-10_2m50s_part_002.wav,"Yok, eee, bir daha tekrarlar mısınız? Elbette. Demo Alvira kapsül, Demo Nexora damla ve Demo Tervix aşı için kampanyamız var. İsterseniz detayları verebilirim.",55,69,14
25_2026-06-10_2m50s_part_003,25_2026-06-10_2m50s,train,training/segments/audio/train/25_2026-06-10_2m50s_part_003.wav,Hangi ilacın kampanyası ile ilgili bilgi almak istersiniz? Demo Alvira 30 miligram kapsül için 5 alana 1 bedava kampanyamız mevcut. Başka bir isteğiniz var mı? Alo.,127,146,19
28_2026-06-23_3m44s_part_001,28_2026-06-23_3m44s,train,training/segments/audio/train/28_2026-06-23_3m44s_part_001.wav,"Merhaba, Veribase İlaç şirketinden arıyorum, ben Elif. Size isminizle hitap edebilmem için isminizi öğrenebilir miyim? İsmim  Mahmutt. Memnun oldum Kemal Bey, şu an Demo Alvira 30 mg Kapsül, Demonexa Damla ve Demo Tervix 200 Ne Pardon.",14,43,29
28_2026-06-23_3m44s_part_002,28_2026-06-23_3m44s,train,training/segments/audio/train/28_2026-06-23_3m44s_part_002.wav,"Rica ederim, nasıl yardımcı olabilirim? Ne anlatıyordun? Orada mısın? Evet, buradayım Kemal Bey, sesimi duyabiliyor musunuz? Duyuyorum.",43,70,27
28_2026-06-23_3m44s_part_003,28_2026-06-23_3m44s,train,training/segments/audio/train/28_2026-06-23_3m44s_part_003.wav,"Harika, nasıl yardımcı olabilirim? Tüm kampanyaları söyle. Hemen bilgi veriyorum. Demo Alvira, Nexora, Pervix, Purexa pardon Evet, tüm ürünlerimiz demo markalıdır. Hangi ilcı istersiniz?",70,94,24
01_2026-07-23_0m19s_part_001,01_2026-07-23_0m19s,train,training/segments/audio/train/01_2026-07-23_0m19s_part_001.wav,"Deva Veribase İlaç şirketinden arıyorum ismim Elif. Demomix kampanyalarımız hakkında bilgi vermek üzere aramıştım müsait miydiniz? Hayır, müsait değilim.",0,19.008,19.008
